Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
20/05/2018,ANTIOQUIA,MEDELLÍN (CT),Domingo,9:20:00,ROSALES C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO TAXI,CONDUCTOR VEHICULO,63,MASCULINO,CASADO,COLOMBIA,NO REPORTA,-,TECNICO,5001000,AUTOMOVIL,MAZDA,2,2012,BLANCO,1
20/05/2018,ATLÁNTICO,BARRANQUILLA (CT),Domingo,16:00:00,SAN SALVADOR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,8001000,CAMIONETA,KIA,AVELLA,2009,BEIGE,1
20/05/2018,ATLÁNTICO,BARRANQUILLA (CT),Domingo,9:00:00,LOS PINOS,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,61,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ARQUITECTURA,SUPERIOR,8001000,CAMIONETA,TOYOTA,HILUX 4X4 DC,1999,AZUL,1
20/05/2018,CAUCA,CAJIBÍO,Domingo,2:00:00,Vda El Tunel,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,-,COLOMBIA,NO REPORTA,-,-,19130000,CAMION,JAC,-,2012,ROJO,1
20/05/2018,CAUCA,CAJIBÍO,Domingo,5:00:00,VDA LA VENTA DE CAJIBIO,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,59,MASCULINO,-,-,NO REPORTA,-,-,19130000,CAMION,CHEVROLET,C 70,1986,AZUL,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00:00,EL MIRADOR E-19,URBANA,EDIFICIO,LLAVE MAESTRA,A PIE,A PIE,35,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,11001000,AUTOMOVIL,RENAULT,LINEA STANDARD,2007,NEGRO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,10:00:00,RINCON DE GALICIA E-19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,56,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000,AUTOMOVIL,RENAULT,R 18,1982,HABANO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,21:00:00,VILLAS DE VIZCAYA E-7,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,44,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SWIFT,1994,ROJO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,18:00:00,SAN VICENTE E-4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,39,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMIONETA,MAZDA,B220DI,1998,GRIS,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,3:00:00,BUENOS AIRES E-19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,TECNICO,11001000,AUTOMOVIL,MAZDA,323,1988,ROJO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,9:30:00,EDUARDO FREY E-15,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,34,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,11001000,AUTOMOVIL,CHEVROLET,SPARK,2016,PLATA,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,17:30:00,CIUDADELA COLSUBSIDIO E-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,40,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2016,BLANCO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,21:20:00,LA FONTANA E-11,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,11001000,AUTOMOVIL,CHEVROLET,SPARK,2011,ROJO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,13:40:00,SIMON BOLIVAR E-12,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,64,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,AUTOMOVIL,RENAULT,SYMBOL ALIZE,2007,GRIS,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,16:20:00,CIUDAD KENNEDY CENTRAL E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,59,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000,CAMIONETA,MAZDA,BT 50,2011,NEGRO,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,11:20:00,SAN CRISTOBAL E-4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,30,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PUBLICO,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2016,PLATA,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,10:15:00,BILBAO E-11,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,30,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMPERO,CHEVROLET,TROOPER,1990,BEIGE,1
20/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,12:20:00,SAN CRISTOBAL E-4,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,41,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,11001000,CAMIONETA,MAZDA,B22DC3,2007,BEIGE,1
