"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Arma.empleada","Móvil.Agresor","Móvil.Victima","Edad","Sexo","Estado.civil","País.de.nacimiento","Clase.de.empleado","Profesión","Escolaridad","CLASE","MARCA","LINEA","MODELO","COLOR","Mes","Dia.Mes","Hora.dia"
"7287",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","22:40:00","EL TEJAR E-16","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",28,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","AUTOMOVIL","VOLKSWAGEN","GOL TRENDLINE",2018,"NEGRO",9,27,22
"7288",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","22:50:00","LUCERO ALTO E-19","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",25,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","TECNOLOGO","AUTOMOVIL","KIA","PICANTO",2016,"GRIS",9,27,22
"7289",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","0:40:00","LA VICTORIA NORTE E-11","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","CONDUCTOR TAXI","CONDUCTOR VEHICULO",23,"FEMENINO","SOLTERO","COLOMBIA","DESEMPLEADO","DESCONOCIDO","SUPERIOR","AUTOMOVIL","NISSAN","VERSA",2013,"ROJO",9,27,0
"7290",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","4:15:00","OSORIO DIEZ E-7","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",34,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO POLICIAL","DESCONOCIDO","TECNICO","AUTOMOVIL","KIA","PICANTO",2012,"PLATA",9,27,4
"7291",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","19:35:00","LA FRAGUA E-14","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",62,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","CAMPERO","DAIHATSU","TERIOS J210LG-GMDF",2008,"NEGRO",9,27,19
"7292",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","20:56:00","ALAMOS I E-10","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",48,"MASCULINO","UNION LIBRE","COLOMBIA","COMERCIANTE","DESCONOCIDO","SECUNDARIA","CAMIONETA","CHEVROLET","DIMAX",2006,"BLANCO",9,27,20
"7293",2018-09-27,"NARIÑO","PUPIALES","Jueves","2:00:00","EL PROGRESO","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",35,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","BUS","CHEVROLET","SPRINT",1993,"ROJO",9,27,2
"7294",2018-09-27,"NORTE DE SANTANDER","PAMPLONA","Jueves","4:25:00","BARRIO LA ALAMBRA","URBANA","VIAS PUBLICAS","NO REPORTADO","A PIE","A PIE",35,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","NO REPORTADO","AUTOMOVIL","RENAULT","R 9",1988,"ROJO",9,27,4
"7295",2018-09-27,"VALLE","CALI (CT)","Jueves","19:00:00","ALAMEDA E9","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",36,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","AUTOMOVIL","VOLKSWAGEN","GOL",2013,"BLANCO",9,27,19
"7296",2018-09-27,"VALLE","CALI (CT)","Jueves","15:00:00","SAN FERNANDO VIEJO E19","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",62,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","CAMIONETA","TOYOTA","PRADO",2013,"GRIS",9,27,15
"7297",2018-09-27,"VALLE","CALI (CT)","Jueves","23:00:00","BRISAS DE LOS ALAMOS E2","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",27,"FEMENINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","HYUNDAI","I10 GL 1.1",2013,"BLANCO",9,27,23
"7298",2018-09-27,"VALLE","CALI (CT)","Jueves","14:00:00","CIUDADELA DEL RIO E21","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",64,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SPRINT",1991,"VERDE",9,27,14
"7299",2018-09-27,"VALLE","CALI (CT)","Jueves","12:30:00","LOS CAMBULOS E19","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",35,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","CAMIONETA","KIA","SPORTAGE",2014,"ROJO",9,27,12
"7300",2018-09-27,"VALLE","CALI (CT)","Jueves","7:30:00","JORGE ELIECER GAITAN E6","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",54,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SUPERIOR","AUTOMOVIL","KIA","CERATO FORTE",2010,"NEGRO",9,27,7
"7301",2018-09-27,"VALLE","CALI (CT)","Jueves","8:45:00","EL POBLADO I E13","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",42,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","MAZDA","323",1989,"ROJO",9,27,8
"7302",2018-09-27,"VALLE","CALI (CT)","Jueves","6:40:00","PUERTAS DEL SOL E14","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",40,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","NO REPORTADA","PRIMARIA","CAMIONETA","NISSAN","VANETTE",1993,"BLANCO",9,27,6
"7303",2018-09-27,"VALLE","CALI (CT)","Jueves","0:08:00","EUCARISTICO E19","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",23,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","AUTOMOVIL","KIA","RIO RS",2011,"BLANCO",9,27,0
"7304",2018-09-28,"ANTIOQUIA","BELLO","Viernes","15:00:00","LA CABAÑITA","URBANA","FRENTE A RESIDENCIAS - VIA PUBLICA","LLAVE MAESTRA","A PIE","A PIE",35,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","CAMIONETA","FORD","EDGE",2012,"GRIS",9,28,15
"7305",2018-09-28,"ANTIOQUIA","CAUCASIA","Viernes","0:40:00","SAN FRANCISCO","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",48,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","PRIMARIA","CAMION","CHEVROLET","NQR",2016,"BLANCO",9,28,0
